ranking,pais,codigo,puntos_totales,puntos_previos,delta,ultimos,
1,Spain,ESP,1877.18,1880.76,-3.58,D W W,
2,Argentina,ARG,1873.33,1872.43,0.9,W W,
3,France,FRA,1870,1862.71,7.29,W W,
4,England,ENG,1834.12,1824.3,9.82,W W W,
5,Brazil,BRA,1760.46,1758.85,1.61,D W L,
6,Portugal,POR,1760.38,1778,-17.62,W L D,
7,Netherlands,NED,1756.27,1759.96,-3.69,W D,
8,Belgium,BEL,1730.71,1740.01,-9.3,W D,
9,Germany,GER,1724.15,1713.3,10.85,W W,
10,Croatia,CRO,1716.88,1710.15,6.73,W W,
11,Morocco,MAR,1713.12,1710.11,3.01,W W W,
12,Italy,ITA,1702.06,1717.15,-15.09,L W W,
13,Colombia,COL,1701.3,1695.72,5.58,W W D,
14,USA,USA,1681.88,1673.49,8.39,W W W,
15,Mexico,MEX,1675.75,1682.52,-6.77,L D D,
16,Uruguay,URU,1672.62,1677.57,-4.95,L D,
17,Switzerland,SUI,1654.69,1653.32,1.37,D W,
18,Japan,JPN,1650.12,1645.34,4.78,W W W,
19,Senegal,SEN,1648.07,1650.61,-2.54,W L W,
20,IR Iran,IRN,1617.02,1618.28,-1.26,L W W,
21,Denmark,DEN,1616.75,1641.02,-24.27,L D,
22,Korea Republic,KOR,1599.45,1593.92,5.53,W W W,
23,Ecuador,ECU,1591.73,1589.72,2.01,W D D,
24,Austria,AUT,1585.51,1586.98,-1.47,D W,
25,Türkiye,TUR,1582.69,1570.18,12.51,D W W,
26,Australia,AUS,1574.01,1584.02,-10.01,L L L,
27,Canada,CAN,1559.15,1554.63,4.52,W D D,
28,Ukraine,UKR,1557.47,1555.36,2.11,W L,
29,Norway,NOR,1553.14,1532.14,21,W W D,
30,Panama,PAN,1540.43,1528.21,12.22,W W D,
31,Poland,POL,1532.04,1523.84,8.2,W D,
32,Wales,WAL,1529.71,1518.81,10.9,W W,
33,Russia,RUS,1524.52,1530.95,-6.43,L D W,
34,Egypt,EGY,1520.68,1525.31,-4.63,W L,
35,Algeria,ALG,1516.37,1510.26,6.11,W W W,
36,Scotland,SCO,1506.77,1504.2,2.57,W L,
37,Serbia,SRB,1506.34,1507.84,-1.5,W L W,
38,Nigeria,NGA,1502.46,1495.46,7,L W W,
39,Paraguay,PAR,1501.5,1498.15,3.35,W L L,
40,Tunisia,TUN,1497.13,1490.8,6.33,D W,
41,Hungary,HUN,1496.29,1504.92,-8.63,L W D,
42,Côte d'Ivoire,CIV,1489.59,1491.78,-2.19,W L W,
43,Sweden,SWE,1487.13,1496.99,-9.86,D L,
44,Czechia,CZE,1487,1484.68,2.32,W W,
45,Slovakia,SVK,1485.65,1483.35,2.3,L W,
46,Greece,GRE,1480.38,1472.99,7.39,D W,
47,Romania,ROU,1465.78,1480.13,-14.35,W L,
48,Venezuela,VEN,1465.22,1463.27,1.95,L W,
49,Costa Rica,CRC,1464.24,1483.74,-19.5,D L,
50,Uzbekistan,UZB,1462.03,1452.34,9.69,W W,
51,Qatar,QAT,1461.6,1461.6,0,W,
52,Peru,PER,1459.57,1464.05,-4.48,L D,
53,Chile,CHI,1457.84,1446.93,10.91,W W,
54,Mali,MLI,1455.03,1455.78,-0.75,D,
55,Slovenia,SLO,1447.31,1462.93,-15.62,D L,
56,Congo DR,COD,1442.5,1421.32,21.18,W W W,
57,Cameroon,CMR,1440.43,1453.71,-13.28,L,
58,Iraq,IRQ,1438.92,1428.69,10.23,W D D,
59,Republic of Ireland,IRL,1436.04,1401.18,34.86,W W W,
60,Saudi Arabia,SAU,1428.74,1427.37,1.37,L W D,
61,South Africa,ZAF,1426.73,1423.17,3.56,W W,
62,Burkina Faso,BFA,1404.81,1398.05,6.76,W W,
63,Albania,ALB,1401.07,1401.34,-0.27,L W W,
64,Honduras,HON,1379.54,1396.23,-16.69,D L,
65,North Macedonia,MKD,1378.57,1390.6,-12.03,L D,
66,Jordan,JOR,1377.66,1380.87,-3.21,D L L,
67,United Arab Emirates,ARE,1369.71,1379.93,-10.22,L D L,
68,Cabo Verde,CPV,1367.95,1364.26,3.69,L L,
69,Northern Ireland,NIR,1366.02,1366.27,-0.25,W L,
70,Jamaica,JAM,1362.46,1367.18,-4.72,D D W,
71,Bosnia and Herzegovina,BIH,1362.37,1341.36,21.01,D W,
72,Ghana,GHA,1351.09,1356.4,-5.31,L L,
73,Georgia,GEO,1347.88,1365.92,-18.04,L L L,
74,Iceland,ISL,1344.72,1344.84,-0.12,L W,
75,Finland,FIN,1341.81,1360.27,-18.46,W L,
76,Bolivia,BOL,1329.56,1334.55,-4.99,L L L,
77,Israel,ISR,1328.14,1324.57,3.57,W D L,
78,Gabon,GAB,1321.25,1329.91,-8.66,L W,
79,Oman,OMN,1312.45,1312.32,0.13,L W,
80,Kosovo,KOS,1308.84,1284.73,24.11,D W,
81,Guinea,GUI,1307.05,1305.22,1.83,D W D,
82,Curaçao,CUW,1302.7,1295.52,7.18,D W D,
83,Montenegro,MNE,1297.09,1297.88,-0.79,L W,
84,Haiti,HTI,1294.49,1268.32,26.17,W W,
85,Uganda,UGA,1288.01,1287.75,0.26,L W L,
86,New Zealand,NZL,1279.25,1283.3,-4.05,L L D,
87,Syria,SYR,1278.1,1274.16,3.94,W W,
88,Bulgaria,BUL,1272.19,1263.07,9.12,W L L,
89,Angola,ANG,1271.54,1267.45,4.09,W L,
90,Zambia,ZAM,1260.06,1268.6,-8.54,L L,
91,Bahrain,BHR,1258.68,1267.16,-8.48,L,
92,Benin,BEN,1255.72,1259.39,-3.67,L L,
93,China PR,CHN,1249.06,1249.06,0,,
94,Guatemala,GTM,1245.77,1241.52,4.25,W L W,
95,Thailand,THA,1243.27,1235.36,7.91,W W W,
96,Palestine,PSE,1230.55,1230.55,0,,
97,Equatorial Guinea,GNQ,1229.09,1229.91,-0.82,L W,
98,Trinidad and Tobago,TTO,1227.32,1229.9,-2.58,D D D,
99,Belarus,BLR,1227.09,1212.78,14.31,D D,
100,El Salvador,SLV,1226.65,1247.77,-21.12,L L L,
101,Tajikistan,TJK,1224.93,1220.21,4.72,W W,
102,Mozambique,MOZ,1223.48,1227.53,-4.05,D L W,
103,Luxembourg,LUX,1218.91,1231.8,-12.89,L L,
104,Kyrgyz Republic,KGZ,1201.22,1201.22,0,,
105,Madagascar,MDG,1198.87,1193.48,5.39,W,
106,Armenia,ARM,1196.08,1204.7,-8.62,L L L,
107,Lebanon,LBN,1190.64,1184.68,5.96,W W,
108,Comoros,COM,1189.75,1180.18,9.57,W W,
109,Niger,NER,1185.09,1187,-1.91,D L,
110,Vietnam,VIE,1183.62,1183.62,0,W,
111,Libya,LBY,1182.78,1177.77,5.01,W,
112,Tanzania,TZA,1181.22,1187.08,-5.86,L L,
113,Kenya,KEN,1179.54,1185.55,-6.01,L L L,
114,Mauritania,MRT,1174.19,1179.2,-5.01,L L,
115,Kazakhstan,KAZ,1173,1168.47,4.53,L D,
116,Malaysia,MYS,1168.41,1161.53,6.88,W W,
117,The Gambia,GMB,1161.55,1162.12,-0.57,D W,
118,Sudan,SDN,1153.56,1157.11,-3.55,L L,
119,Namibia,NAM,1153.22,1162.79,-9.57,L L,
120,Korea DPR,PRK,1151.05,1151.05,0,,
121,Sierra Leone,SLE,1149.1,1149.1,0,,
122,Indonesia,IDN,1144.73,1144.73,0,,
123,Suriname,SUR,1140.54,1135.89,4.65,L W D,
124,Togo,TGO,1140.35,1140.35,0,,
125,Faroe Islands,FRO,1135.42,1132.41,3.01,W L,
126,Malawi,MWI,1133.75,1129.89,3.86,W D,
127,Azerbaijan,AZE,1132.97,1142.25,-9.28,L L,
128,Cyprus,CYP,1128.5,1137.43,-8.93,L L,
129,Zimbabwe,ZWE,1123.69,1125.55,-1.86,L,
130,Estonia,EST,1123.11,1122.25,0.86,W L D,
131,Rwanda,RWA,1117.78,1117.78,0,L,
132,Nicaragua,NIC,1116.86,1106.83,10.03,L W,
133,Guinea-Bissau,GNB,1108.09,1108.09,0,,
134,Congo,COG,1105.96,1105.96,0,L,
135,Kuwait,KWT,1103.25,1096.82,6.43,D W,
136,Philippines,PHL,1090.95,1081.44,9.51,W W,
137,Turkmenistan,TKM,1087.52,1078.09,9.43,W W,
138,Botswana,BWA,1084.56,1084.56,0,D,
139,Central African Republic,CAF,1083.57,1083.57,0,,
140,Latvia,LVA,1082.68,1084.26,-1.58,L D L,
141,Liberia,LBR,1081.46,1084.46,-3,L,
142,India,IND,1079.52,1096.65,-17.13,L L,
143,Dominican Republic,DOM,1077.49,1073.54,3.95,W,
144,Lesotho,LSO,1065.97,1069.83,-3.86,L D,
145,Burundi,BDI,1060.22,1060.22,0,L,
146,Lithuania,LTU,1056.34,1055.58,0.76,L D,
147,Ethiopia,ETH,1055.36,1055.36,0,,
148,Yemen,YEM,1048.83,1040.13,8.7,W W,
149,New Caledonia,NCL,1042.62,1042.62,0,D D,
150,Guyana,GUY,1041.9,1037.34,4.56,W,
151,Singapore,SGP,1040.43,1030.49,9.94,W L W,
152,Solomon Islands,SLB,1039.86,1045.58,-5.72,D L,
153,Hong Kong, China,HKG,1038.14,1052.54,-14.4,L D D
154,St Kitts and Nevis,KNA,1035.25,1041.53,-6.28,L,
155,Fiji,FJI,1029.7,1035.11,-5.41,L,
156,Puerto Rico,PRI,1020.07,1020.07,0,L,
157,Tahiti,TAH,1019.04,1019.04,0,,
158,Moldova,MDA,1012.64,1020.2,-7.56,L L D,
159,Eswatini,SWZ,1010.52,1010.52,0,,
160,Vanuatu,VUT,997.01,991.59,5.42,W,
161,Malta,MLT,996.59,979.18,17.41,L W,
162,Afghanistan,AFG,991.19,991.19,0,D D,
163,Myanmar,MMR,990.81,990.81,0,D L,
164,Grenada,GRD,989.59,986.48,3.11,W,
165,Antigua and Barbuda,ATG,986.58,992.38,-5.8,L D,
166,Cuba,CUB,980.49,975.34,5.15,W,
167,St Lucia,LCA,980.28,990.69,-10.41,L L,
168,South Sudan,SSD,978.7,978.7,0,,
169,Guam,GUM,973.28,973.28,0,,
170,Seychelles,SYC,970.03,963.57,6.46,W,
171,Timor-Leste,TLS,968.5,959.84,8.66,W,
172,Kiribati,KIR,964.69,964.69,0,,
173,Turks and Caicos Islands,TCA,963.94,963.94,0,,
174,Brunei,BRU,961.65,961.65,0,,
175,American Samoa,ASM,957.15,957.15,0,,
176,Comoros,COM,955.48,955.48,0,,
177,Nauru,NRU,954.87,954.87,0,,
178,Anguilla,AIA,953.44,953.44,0,,
179,Saint Pierre and Miquelon,SPM,951.52,951.52,0,,
180,Micronesia, FSM,FSM,950.17,950.17,0,
181,Tuvalu,TUV,948.01,948.01,0,,
182,Saint Martin,SXM,946.85,946.85,0,,
183,Monaco,MON,944.69,944.69,0,,
184,Saint Helena,SHN,942.41,942.41,0,,
185,Grenadines,VCT,940.37,940.37,0,,
186,Saint Kitts and Nevis,KNA,938.14,938.14,0,,
187,Saint Vincent and the Grenadines,VCT,936.78,936.78,0,,
188,San Marino,SMR,934.42,934.42,0,,
189,Anguilla,AIA,932.07,932.07,0,,
190,Montserrat,MSR,929.71,929.71,0,,
191,Tokelau,TKL,927.36,927.36,0,,
192,Federated States of Micronesia,FSM,925.02,925.02,0,,
193,Wallis and Futuna,WLF,922.68,922.68,0,,
194,Northern Mariana Islands, MNP,920.34,920.34,0,,
195,Palau,PLW,918.01,918.01,0,,
196,Cook Islands,COK,915.69,915.69,0,,
197,Niue,NIU,913.36,913.36,0,,
198,American Samoa,ASM,911.04,911.04,0,,
199,San Marino,SMR,908.72,908.72,0,,
200,Liechtenstein,LIE,906.41,906.41,0,,
201,Faroe Islands,FRO,904.1,904.1,0,,
202,Gibraltar,GIB,901.79,901.79,0,,
203,Montenegro,MNE,899.49,899.49,0,,
204,Andorra,AND,897.19,897.19,0,,
205,Maldives,MDV,894.9,894.9,0,,
206,Saint Pierre and Miquelon,SPM,892.61,892.61,0,,
207,Guernsey,GGY,890.33,890.33,0,,
208,Jersey,JEY,888.05,888.05,0,,
209,Liechtenstein,LIE,885.78,885.78,0,,
210,San Marino,SMR,883.51,883.51,0,,
